"Time","Username","Entry"
2021-05-12 15:44:45,"npcc","Downloaded DISCOs Forecast"
2021-05-12 15:44:33,"npcc","Downloaded Forecast"
2021-05-12 15:44:21,"npcc","Downloaded Forecast"
2021-05-12 15:41:58,"npcc","Uploaded New Data"
2021-05-12 15:41:46,"npcc","Uploaded New Data"
2021-05-12 15:33:07,"npcc","Logged In"
2021-05-12 14:08:17,"admin","Logged In"
2021-05-12 13:00:58,"admin","Logged In"
2021-05-12 00:10:33,"admin","Logged In"
2021-05-12 00:08:47,"admin","Logged In"
2021-05-12 00:02:44,"admin","Logged In"
2021-05-12 00:00:43,"admin","Logged In"
2021-05-11 23:56:20,"admin","Logged In"
2021-05-11 23:55:08,"admin","Uploaded New Data"
2021-05-11 21:47:42,"admin","Logged In"
2021-05-11 21:01:57,"admin","Logged In"
2021-05-11 20:54:44,"admin","Logged In"
2021-05-11 20:05:03,"admin","Logged In"
2021-05-11 19:43:06,"admin","Logged In"
2021-05-10 18:19:31,"npcc","Downloaded Performance Data"
2021-05-10 18:14:09,"npcc","Downloaded DISCOs Forecast"
2021-05-10 18:12:19,"npcc","Downloaded DISCOs Forecast"
2021-05-10 18:12:01,"npcc","Downloaded DISCOs Forecast"
2021-05-10 18:11:39,"npcc","Downloaded Forecast"
2021-05-10 18:11:13,"npcc","Downloaded Forecast"
2021-05-10 18:08:30,"npcc","Uploaded New Data"
2021-05-10 18:04:35,"npcc","Logged In"
2021-05-10 13:12:43,"admin","Logged In"
2021-05-10 09:16:28,"admin","Logged In"
2021-05-09 20:22:00,"npcc","Downloaded Forecast"
2021-05-09 20:17:28,"npcc","Downloaded DISCOs Forecast"
2021-05-09 20:17:18,"npcc","Downloaded DISCOs Forecast"
2021-05-09 20:16:46,"npcc","Downloaded Forecast"
2021-05-09 20:15:52,"npcc","Uploaded New Data"
2021-05-09 20:11:17,"npcc","Logged In"
2021-05-09 13:01:15,"admin","Logged In"
2021-05-09 13:01:13,"admin","Logged In"
2021-05-09 13:00:51,"admin","Logged In"
2021-05-08 14:08:50,"npcc","Downloaded DISCOs Forecast"
2021-05-08 14:08:39,"npcc","Downloaded DISCOs Forecast"
2021-05-08 14:08:24,"npcc","Downloaded Forecast"
2021-05-08 14:08:04,"npcc","Downloaded Forecast"
2021-05-08 14:07:23,"npcc","Uploaded New Data"
