"Time","LESCO","MEPCO","FESCO","QESCO","PESCO","GEPCO","HESCO","SEPCO","IESCO","TESCO"
"2021-03-17 17:00:00",1985.926026572,1848.2246187639,1491.02381524584,436.177975230329,1097.61591281466,1132.60754680989,514.579478532933,263.714505663702,976.228864080152,90.6515349018434
"2021-03-17 18:00:00",2110.65357461694,1844.5106034778,1533.14188211427,478.97278904883,1138.59786019781,1166.20204004001,543.294512281522,305.902849747537,1100.24671840047,98.0369731351611
"2021-03-17 19:00:00",2097.01301336075,1897.77732732029,1523.342714125,561.638962323207,1181.69409644991,1139.28400406876,529.908786983839,356.316546853597,1131.47350536899,97.0054865764712
"2021-03-17 20:00:00",2012.42988826023,1890.40750082437,1500.16626922464,546.915128399097,1183.11560097608,1079.82665147349,537.173858351326,386.699925582228,1078.72263979733,98.0369731351611
"2021-03-17 21:00:00",1949.6730878076,1828.39184178409,1460.00592174681,526.901265759268,1118.20240099688,1012.03117975979,579.666545970286,366.010390441112,999.763734259697,92.6934392709036
"2021-03-17 22:00:00",1865.14597309667,1765.29085526277,1404.13447992533,570.025103277075,920.506417867481,950.990128357966,608.360778507224,325.552287426297,896.425614895432,101.973515908082
"2021-03-17 23:00:00",1791.34097129501,1711.50913653905,1355.10937152936,541.48658256024,1032.85095406441,882.109361479153,574.172502258958,307.362256115593,820.81933965916,98.6567537350319
"2021-03-18 00:00:00",1726.51917215212,1666.02031789239,1307.80978452822,473.692947586897,876.484189364986,841.180669833869,599.994603011447,317.448449732005,767.681639348025,92.4889166481182
"2021-03-18 01:00:00",1679.17263929492,1603.28297469084,1287.84109502825,460.119639186185,835.383409553093,826.389712083613,607.405123980001,308.573984538275,739.831029727352,92.2844678672182
"2021-03-18 02:00:00",1658.48110251228,1567.84333594789,1267.86261166589,416.398635515058,843.359709264078,801.864307724164,619.337428562023,301.237805850496,733.980204683774,100.520096861907
"2021-03-18 03:00:00",1655.59876266524,1546.38785343675,1262.69809901435,412.604460719813,865.466460925972,799.32747349274,592.101334070105,255.858527536135,728.483567561427,90.0404023903152
"2021-03-18 04:00:00",1665.26626104888,1556.60808799433,1266.96448000114,411.542284547452,772.544293754654,807.439090656883,551.09440689576,218.888147692715,732.364575603887,84.9734166663148
